slovo, a, b, c, d, e, f
C, 51.78, 5.26, 55.73, 78.95, 103.56, 5.052
A, 75.45, 78.0, 79.83, 14.83, 150.9, 75.45
A, 48.12, 54.86, 90.31, 18.47, 96.24, 48.12
A, 75.24, 54.32, 100.7, 37.22, 150.48, 75.24
A, 27.09, 80.45, 97.32, 34.4, 54.18, 27.09
B, 84.37, 81.87, 28.56, 97.26, 168.74, 10.192
A, 37.44, 57.74, 12.47, 24.04, 74.88, 37.44
C, 93.36, 57.81, 12.3, 92.0, 186.72, 10.172
C, 55.25, 84.89, 27.22, 52.36, 110.5, 13.989
C, 89.15, 99.48, 12.29, 33.28, 178.3, 22.327
C, 3.25, 7.29, 27.43, 24.94, 6.5, 6.217
C, 81.6, 22.8, 72.61, 62.79, 163.2, 5.143
C, 83.19, 79.5, 8.91, 4.56, 166.38, 20.847
A, 20.77, 27.47, 36.69, 51.36, 41.54, 20.77
C, 19.95, 25.79, 100.58, 90.41, 39.9, 5.545
B, 41.95, 94.01, 25.49, 35.33, 83.9, 20.729
B, 4.97, 100.33, 39.06, 87.6, 9.94, 104.598
A, 100.59, 32.66, 87.84, 12.2, 201.18, 100.59
C, 13.73, 14.74, 99.71, 6.85, 27.46, 5.282
B, 85.27, 18.53, 23.11, 71.94, 170.54, 5.272
A, 20.62, 17.71, 14.52, 43.36, 41.24, 20.62
A, 70.84, 63.19, 18.97, 50.98, 141.68, 70.84
B, 26.42, 37.7, 48.21, 14.48, 52.84, 6.876
A, 27.62, 85.93, 19.45, 22.3, 55.24, 27.62
A, 3.71, 58.69, 94.41, 32.34, 7.42, 3.71
B, 81.27, 79.71, 28.03, 65.51, 162.54, 10.187
B, 44.11, 34.2, 81.17, 30.41, 88.22, 5.546
B, 91.71, 3.12, 98.99, 21.78, 183.42, 5.039
A, 57.82, 52.43, 98.73, 6.61, 115.64, 57.82
A, 2.27, 34.13, 1.76, 23.48, 4.54, 2.27
C, 2.57, 62.34, 3.6, 80.75, 5.14, 759.158
B, 57.35, 10.52, 46.21, 59.39, 114.7, 5.077
B, 49.16, 69.03, 59.61, 62.93, 98.32, 7.965
A, 26.06, 35.19, 33.73, 22.66, 52.12, 26.06
B, 63.13, 54.42, 100.64, 29.48, 126.26, 5.824
A, 78.17, 54.22, 97.92, 7.71, 156.34, 78.17
A, 38.02, 11.12, 70.55, 75.82, 76.04, 38.02
B, 23.75, 37.4, 79.96, 66.17, 47.5, 6.242
C, 51.79, 54.15, 97.11, 44.14, 103.58, 6.03
C, 10.66, 16.28, 27.8, 40.08, 21.32, 6.387
C, 41.98, 36.04, 60.67, 24.35, 83.96, 5.854
B, 12.76, 2.72, 28.53, 69.56, 25.52, 5.324
B, 94.19, 13.2, 42.07, 39.72, 188.38, 5.073
C, 17.11, 22.85, 62.42, 76.44, 34.22, 5.788
A, 90.12, 59.39, 73.72, 86.39, 180.24, 90.12
B, 96.45, 37.85, 76.85, 77.76, 192.9, 5.326
C, 84.39, 66.45, 62.18, 86.23, 168.78, 6.526
A, 46.05, 83.28, 66.72, 47.03, 92.1, 46.05
A, 11.2, 25.13, 78.1, 21.75, 22.4, 11.2
B, 17.44, 69.21, 65.52, 57.11, 34.88, 12.646
C, 86.98, 80.5, 3.71, 79.02, 173.96, 42.385
A, 80.72, 4.17, 39.91, 1.93, 161.44, 80.72
A, 56.33, 95.63, 100.23, 51.22, 112.66, 56.33
B, 81.48, 73.17, 37.02, 66.82, 162.96, 8.262
C, 18.56, 23.15, 60.71, 65.17, 37.12, 5.766
C, 18.25, 72.32, 73.67, 45.04, 36.5, 12.14
A, 84.04, 76.6, 40.55, 80.75, 168.08, 84.04
C, 79.18, 97.06, 13.13, 64.53, 158.36, 22.322
B, 41.33, 84.88, 11.23, 40.91, 82.66, 34.116
B, 6.97, 45.39, 48.81, 79.41, 13.94, 15.426
A, 71.23, 81.12, 70.67, 65.6, 142.46, 71.23
B, 81.63, 98.62, 61.92, 99.7, 163.26, 8.688
B, 40.12, 8.64, 53.39, 63.28, 80.24, 5.078
A, 89.28, 63.6, 85.94, 61.42, 178.56, 89.28
C, 36.99, 40.82, 19.8, 18.14, 73.98, 8.855
B, 89.54, 73.6, 85.43, 90.66, 179.08, 6.303
A, 23.47, 34.6, 48.24, 47.2, 46.94, 23.47
C, 37.95, 94.63, 32.9, 64.7, 75.9, 18.663
C, 13.87, 55.42, 1.05, 59.62, 27.74, 377.386
C, 100.51, 25.58, 80.91, 74.82, 201.02, 5.132
B, 81.61, 22.05, 35.3, 18.09, 163.22, 5.268
A, 1.07, 55.93, 50.77, 82.96, 2.14, 1.07
B, 69.84, 88.18, 60.75, 3.01, 139.68, 8.458
C, 58.66, 36.68, 40.39, 85.08, 117.32, 5.951
B, 94.01, 5.9, 30.31, 80.67, 188.02, 5.039
C, 38.43, 50.94, 12.53, 22.02, 76.86, 14.408
C, 11.56, 13.21, 3.78, 44.73, 23.12, 10.841
C, 5.07, 96.4, 4.29, 59.01, 10.14, 820.89
A, 14.86, 47.34, 28.3, 6.24, 29.72, 14.86
B, 57.64, 7.95, 66.29, 34.48, 115.28, 5.046
A, 83.85, 16.31, 37.47, 12.86, 167.7, 83.85
B, 95.99, 48.75, 1.74, 13.59, 191.98, 29.684
A, 61.73, 96.21, 7.47, 36.91, 123.46, 61.73
A, 68.65, 9.91, 4.75, 24.8, 137.3, 68.65
A, 87.56, 33.44, 88.0, 43.37, 175.12, 87.56
B, 52.03, 95.51, 35.68, 81.15, 104.06, 14.373
B, 34.53, 35.05, 24.65, 66.98, 69.06, 7.398
C, 17.65, 48.15, 54.12, 30.99, 35.3, 9.213
A, 74.31, 13.86, 75.91, 54.86, 148.62, 74.31
B, 46.31, 98.44, 10.22, 98.53, 92.62, 44.217
C, 94.7, 48.82, 93.91, 68.33, 189.4, 5.467
B, 57.05, 60.72, 60.77, 3.65, 114.1, 6.905
A, 14.72, 3.29, 87.52, 56.21, 29.44, 14.72
A, 27.4, 9.53, 81.27, 86.72, 54.8, 27.4
B, 66.24, 98.65, 64.75, 21.86, 132.48, 9.349
A, 35.1, 31.7, 39.66, 14.49, 70.2, 35.1
B, 40.2, 93.28, 34.93, 59.85, 80.4, 16.781
B, 10.48, 68.1, 37.88, 71.28, 20.96, 26.251
B, 17.79, 68.38, 86.18, 62.12, 35.58, 10.556
C, 71.15, 60.98, 31.11, 26.45, 142.3, 8.009
A, 61.91, 40.74, 93.81, 81.54, 123.82, 61.91
C, 52.06, 72.26, 85.51, 76.63, 104.12, 7.153
B, 11.93, 59.27, 79.78, 18.28, 23.86, 11.593
A, 7.09, 52.14, 39.98, 34.99, 14.18, 7.09
B, 59.28, 51.53, 50.98, 49.9, 118.56, 6.539
C, 38.76, 83.9, 30.88, 4.41, 77.52, 16.015
A, 84.41, 33.64, 25.12, 56.82, 168.82, 84.41
B, 96.35, 53.3, 40.99, 89.58, 192.7, 6.265
C, 65.4, 69.69, 54.49, 7.76, 130.8, 7.488
A, 80.72, 62.32, 23.73, 34.59, 161.44, 80.72
B, 37.15, 59.43, 39.23, 93.83, 74.3, 9.326
B, 52.35, 81.13, 75.72, 44.18, 104.7, 8.097
A, 49.15, 39.74, 14.23, 50.88, 98.3, 49.15
C, 7.98, 2.95, 4.57, 54.11, 15.96, 5.777
B, 94.99, 39.89, 26.28, 98.74, 189.98, 6.078
B, 12.94, 68.2, 16.45, 10.92, 25.88, 44.742
C, 67.08, 3.37, 31.62, 83.54, 134.16, 5.06
C, 40.78, 82.32, 56.93, 25.38, 81.56, 10.454
B, 60.43, 35.28, 77.95, 32.16, 120.86, 5.443
B, 14.8, 38.56, 36.45, 40.45, 29.6, 9.641
A, 86.43, 65.61, 66.47, 37.07, 172.86, 86.43
A, 39.03, 70.1, 28.97, 53.13, 78.06, 39.03
B, 78.58, 93.68, 11.69, 16.18, 157.16, 23.172
A, 94.22, 54.35, 25.15, 5.34, 188.44, 94.22
B, 82.0, 1.04, 79.02, 48.04, 164.0, 5.13
B, 32.54, 99.62, 9.5, 58.1, 65.08, 66.593
A, 31.66, 9.9, 82.98, 97.24, 63.32, 31.66
A, 64.74, 55.43, 51.51, 32.64, 129.48, 64.74
B, 43.9, 2.87, 66.75, 39.25, 87.8, 5.088
A, 73.9, 16.49, 44.94, 49.04, 147.8, 73.9
C, 59.66, 60.59, 52.59, 6.41, 119.32, 7.095
C, 40.83, 58.38, 63.21, 23.45, 81.66, 7.353
B, 99.19, 19.31, 54.42, 99.35, 198.38, 5.111
A, 90.91, 22.59, 41.27, 87.41, 181.82, 90.91
C, 61.4, 85.52, 85.1, 54.64, 122.8, 7.63
B, 47.93, 72.49, 25.76, 68.02, 95.86, 12.809
A, 17.76, 68.41, 91.63, 81.29, 35.52, 17.76
C, 2.65, 28.34, 68.86, 32.41, 5.3, 12.201
C, 84.19, 99.3, 87.77, 83.76, 168.38, 7.56
B, 61.64, 43.34, 33.51, 75.18, 123.28, 6.555
A, 63.38, 59.08, 22.17, 96.8, 126.76, 63.38
A, 86.61, 52.91, 44.36, 10.95, 173.22, 86.61
B, 48.41, 83.99, 53.5, 98.21, 96.82, 10.103
A, 58.74, 28.16, 39.3, 51.96, 117.48, 58.74
A, 52.74, 44.49, 67.69, 43.28, 105.48, 52.74
C, 10.02, 55.35, 44.35, 55.46, 20.04, 17.188
B, 30.69, 94.71, 46.46, 90.92, 61.38, 16.986
B, 29.25, 76.42, 3.29, 39.89, 58.5, 117.143
B, 64.9, 48.1, 6.95, 40.24, 129.8, 13.883
B, 51.73, 99.89, 33.89, 54.49, 103.46, 15.925
B, 28.54, 73.69, 69.53, 69.58, 57.08, 10.035
A, 54.04, 28.31, 50.06, 26.5, 108.08, 54.04
A, 4.74, 55.96, 53.79, 59.33, 9.48, 4.74
A, 23.65, 28.35, 32.46, 92.42, 47.3, 23.65
C, 97.75, 72.02, 43.2, 71.42, 195.5, 7.252
C, 28.94, 31.69, 31.6, 92.53, 57.88, 6.803
A, 40.36, 57.87, 38.42, 16.09, 80.72, 40.36
B, 4.42, 81.27, 76.7, 98.66, 8.84, 41.342
C, 24.84, 1.48, 64.59, 57.4, 49.68, 5.284
B, 31.19, 17.74, 13.54, 89.21, 62.38, 6.142
C, 34.99, 59.52, 47.78, 85.38, 69.98, 8.784
A, 50.41, 24.49, 31.99, 20.97, 100.82, 50.41
C, 18.57, 85.19, 1.85, 60.53, 37.14, 401.402
C, 71.86, 74.46, 21.44, 70.0, 143.72, 11.627
C, 13.56, 21.42, 85.65, 89.09, 27.12, 5.645
C, 34.8, 83.0, 64.32, 81.59, 69.6, 10.757
C, 24.4, 100.01, 16.04, 22.78, 48.8, 54.06
C, 1.54, 30.02, 47.93, 60.88, 3.08, 24.981
B, 25.13, 56.07, 59.95, 38.16, 50.26, 8.698
A, 17.33, 97.03, 75.28, 82.16, 34.66, 17.33
B, 66.21, 83.4, 30.85, 15.6, 132.42, 11.373
C, 34.47, 57.56, 43.25, 6.38, 68.94, 8.95
C, 18.66, 6.18, 9.23, 26.26, 37.32, 5.391
A, 32.45, 59.61, 31.95, 67.26, 64.9, 32.45
B, 64.82, 68.15, 75.58, 98.78, 129.64, 6.726
A, 27.38, 19.89, 56.92, 63.32, 54.76, 27.38
A, 73.82, 11.06, 63.32, 74.89, 147.64, 73.82
B, 91.09, 61.54, 3.19, 71.11, 182.18, 28.362
B, 77.16, 96.62, 68.04, 2.41, 154.32, 8.398
A, 84.32, 5.6, 55.41, 76.53, 168.64, 84.32
B, 42.11, 98.48, 59.11, 4.57, 84.22, 12.465
C, 22.72, 46.71, 71.3, 54.36, 45.44, 7.331
C, 46.4, 34.98, 33.76, 11.29, 92.8, 6.299
B, 44.04, 29.97, 69.77, 69.42, 88.08, 5.481
C, 68.98, 9.17, 27.71, 97.74, 137.96, 5.08
A, 88.5, 54.61, 36.09, 75.72, 177.0, 88.5
B, 58.06, 53.43, 35.0, 16.59, 116.12, 7.471
C, 92.04, 82.39, 7.69, 25.37, 184.08, 22.914
B, 64.0, 36.19, 2.83, 23.89, 128.0, 17.034
B, 8.52, 3.4, 15.21, 36.53, 17.04, 5.471
B, 36.73, 55.51, 94.96, 45.1, 73.46, 6.565
C, 48.27, 93.79, 99.34, 1.68, 96.54, 8.492
B, 34.27, 97.08, 28.17, 44.83, 68.54, 23.664
A, 35.23, 12.19, 71.49, 48.48, 70.46, 35.23
B, 59.48, 90.96, 98.6, 43.1, 118.96, 7.674
C, 11.03, 59.74, 28.91, 39.39, 22.06, 24.987
C, 31.39, 14.42, 38.92, 19.84, 62.78, 5.272
C, 78.85, 87.5, 8.96, 32.05, 157.7, 25.414
C, 70.09, 31.35, 39.92, 73.47, 140.18, 5.577
A, 32.89, 14.56, 27.54, 12.54, 65.78, 32.89
C, 63.75, 92.63, 72.1, 64.61, 127.5, 8.546
A, 58.38, 28.63, 48.17, 56.15, 116.76, 58.38
C, 47.27, 35.86, 96.73, 11.0, 94.54, 5.473
B, 44.75, 2.29, 72.0, 82.18, 89.5, 5.105
B, 10.88, 52.39, 50.52, 17.06, 21.76, 13.764
B, 79.82, 24.11, 89.47, 64.86, 159.64, 5.133
C, 62.64, 81.94, 20.53, 71.99, 125.28, 14.745
A, 91.3, 99.22, 37.3, 22.43, 182.6, 91.3
C, 89.24, 80.61, 2.09, 19.4, 178.48, 69.871
A, 82.0, 3.88, 19.47, 52.17, 164.0, 82.0
B, 27.13, 34.55, 24.1, 94.85, 54.26, 8.027
C, 88.54, 92.43, 6.6, 38.14, 177.08, 32.754
A, 90.34, 35.43, 23.18, 73.31, 180.68, 90.34
B, 8.81, 47.8, 60.18, 95.05, 17.62, 12.475
C, 67.08, 29.32, 44.19, 31.15, 134.16, 5.474
C, 67.48, 57.15, 43.69, 7.23, 134.96, 6.968
C, 20.83, 31.44, 67.67, 12.5, 41.66, 6.158
B, 29.89, 28.3, 84.67, 26.27, 59.78, 5.52
C, 38.04, 19.72, 32.45, 19.16, 76.08, 5.495
A, 36.07, 91.55, 97.33, 47.98, 72.14, 36.07
A, 37.29, 55.5, 34.15, 13.9, 74.58, 37.29
B, 60.13, 72.86, 72.59, 25.75, 120.26, 7.235
C, 27.39, 40.61, 64.04, 96.09, 54.78, 6.598
A, 72.04, 86.19, 82.26, 10.24, 144.08, 72.04
C, 23.36, 43.7, 5.86, 5.82, 46.72, 28.83
A, 32.2, 49.19, 6.62, 84.84, 64.4, 32.2
B, 63.03, 2.68, 29.47, 31.93, 126.06, 5.076
A, 32.41, 65.75, 86.36, 52.7, 64.82, 32.41
A, 8.96, 23.7, 29.7, 16.55, 17.92, 8.96
A, 38.34, 73.32, 37.25, 9.07, 76.68, 38.34
C, 14.43, 26.3, 63.75, 3.85, 28.86, 6.222
A, 96.01, 71.47, 35.91, 37.75, 192.02, 96.01
A, 21.16, 29.51, 66.26, 36.86, 42.32, 21.16
B, 27.9, 82.9, 68.55, 12.01, 55.8, 11.721
A, 92.44, 58.2, 66.35, 89.28, 184.88, 92.44
B, 63.7, 90.92, 28.71, 49.75, 127.4, 13.562
B, 23.47, 7.92, 27.16, 72.48, 46.94, 5.19
A, 44.35, 75.56, 55.36, 48.23, 88.7, 44.35
C, 56.6, 54.21, 33.93, 24.74, 113.2, 7.697
A, 70.98, 56.88, 92.53, 81.95, 141.96, 70.98
B, 38.78, 1.68, 79.59, 30.81, 77.56, 5.162
A, 57.93, 82.75, 79.9, 12.33, 115.86, 57.93
B, 18.01, 17.98, 70.88, 68.75, 36.02, 5.413
C, 31.2, 14.6, 3.17, 53.56, 62.4, 8.194
C, 75.14, 96.67, 44.95, 15.49, 150.28, 10.287
A, 60.05, 45.53, 94.71, 25.69, 120.1, 60.05
B, 84.67, 59.58, 76.46, 60.06, 169.34, 5.98
B, 92.44, 9.84, 98.79, 72.34, 184.88, 5.027
B, 21.91, 54.6, 20.67, 12.0, 43.82, 16.607
C, 36.32, 61.38, 69.32, 58.82, 72.64, 7.685
B, 73.59, 14.76, 93.86, 79.89, 147.18, 5.056
A, 52.73, 1.67, 85.97, 6.1, 105.46, 52.73
B, 12.9, 92.46, 62.15, 69.6, 25.8, 25.25
A, 30.48, 32.95, 48.23, 57.29, 60.96, 30.48
C, 73.61, 5.41, 76.52, 94.18, 147.22, 5.034
B, 37.97, 53.35, 91.51, 74.64, 75.94, 6.444
A, 52.51, 53.31, 3.35, 87.01, 105.02, 52.51
B, 24.27, 99.37, 75.51, 55.06, 48.54, 15.337
C, 90.14, 42.44, 78.15, 43.99, 180.28, 5.438
A, 56.39, 29.75, 64.62, 99.87, 112.78, 56.39
A, 38.93, 61.97, 73.37, 56.01, 77.86, 38.93
B, 4.73, 54.44, 88.03, 7.01, 9.46, 17.574
B, 42.82, 5.49, 78.19, 61.06, 85.64, 5.056
A, 3.6, 43.06, 24.41, 73.14, 7.2, 3.6
C, 64.36, 29.68, 34.39, 47.79, 128.72, 5.649
C, 63.57, 34.24, 39.45, 62.72, 127.14, 5.776
A, 97.56, 37.54, 20.07, 66.68, 195.12, 97.56
C, 42.21, 75.02, 47.36, 97.48, 84.42, 10.192
C, 86.99, 92.83, 10.85, 7.34, 173.98, 22.344
B, 5.36, 23.86, 69.19, 12.45, 10.72, 7.484
C, 7.99, 28.3, 78.02, 32.75, 15.98, 7.107
C, 12.04, 33.08, 68.57, 7.98, 24.08, 7.201
A, 100.71, 55.52, 37.03, 79.74, 201.42, 100.71
A, 32.86, 36.77, 89.01, 68.24, 65.72, 32.86
C, 75.43, 39.64, 65.07, 88.23, 150.86, 5.543
B, 23.65, 42.84, 92.99, 34.13, 47.3, 6.431
B, 82.77, 8.22, 45.46, 89.23, 165.54, 5.042
A, 20.72, 66.59, 30.91, 37.19, 41.44, 20.72
A, 42.22, 66.79, 46.82, 12.58, 84.44, 42.22
B, 27.55, 24.99, 27.96, 46.0, 55.1, 6.295
B, 16.87, 10.74, 99.49, 47.89, 33.74, 5.152
B, 55.19, 52.79, 43.06, 30.85, 110.38, 7.06
A, 30.16, 77.05, 40.81, 15.39, 60.32, 30.16
B, 14.57, 63.37, 99.83, 62.87, 29.14, 9.979
C, 85.67, 52.5, 28.27, 52.97, 171.34, 6.997
C, 25.64, 88.61, 56.68, 36.12, 51.28, 15.199
C, 36.04, 94.16, 85.66, 19.83, 72.08, 10.469
C, 24.82, 20.68, 67.1, 90.86, 49.64, 5.415
C, 15.39, 51.6, 20.42, 6.92, 30.78, 19.822
B, 51.13, 98.15, 94.53, 42.02, 102.26, 8.818
B, 23.16, 24.54, 16.57, 24.86, 46.32, 7.489
C, 58.85, 63.92, 5.6, 78.57, 117.7, 27.341
A, 64.85, 97.37, 69.61, 17.77, 129.7, 64.85
B, 38.01, 80.02, 55.72, 18.6, 76.02, 10.626
B, 58.79, 98.31, 37.45, 42.43, 117.58, 13.408
A, 13.79, 91.03, 83.27, 33.67, 27.58, 13.79
A, 27.99, 62.53, 24.65, 61.02, 55.98, 27.99
B, 59.75, 100.57, 21.09, 80.77, 119.5, 20.421
A, 19.77, 50.13, 75.69, 20.03, 39.54, 19.77
B, 82.77, 70.58, 53.02, 58.99, 165.54, 7.076
A, 18.07, 2.23, 36.05, 23.75, 36.14, 18.07
A, 96.95, 71.77, 47.22, 72.78, 193.9, 96.95
B, 82.0, 14.33, 10.31, 32.99, 164.0, 5.369
B, 38.24, 53.55, 83.24, 64.21, 76.48, 6.588
C, 56.85, 67.28, 18.71, 85.15, 113.7, 12.726
A, 33.47, 10.71, 49.72, 94.15, 66.94, 33.47
C, 8.25, 78.89, 36.93, 42.29, 16.5, 42.931
B, 46.8, 30.74, 92.15, 41.89, 93.6, 5.363
A, 1.65, 97.13, 55.87, 86.96, 3.3, 1.65
C, 46.35, 5.28, 12.98, 24.14, 92.7, 5.114
C, 56.01, 78.95, 80.36, 49.68, 112.02, 7.573
B, 81.38, 44.72, 16.49, 9.61, 162.76, 7.557
A, 14.25, 23.25, 27.49, 48.87, 28.5, 14.25
C, 76.57, 28.76, 81.72, 84.31, 153.14, 5.218
C, 3.49, 22.76, 45.49, 93.22, 6.98, 10.206
B, 51.14, 52.95, 56.46, 64.13, 102.28, 6.707
C, 56.83, 99.82, 79.18, 6.17, 113.66, 9.251
B, 97.14, 33.13, 61.61, 10.47, 194.28, 5.305
A, 14.6, 53.43, 63.3, 24.37, 29.2, 14.6
B, 44.34, 85.03, 26.11, 44.46, 88.68, 16.718
C, 13.11, 93.31, 35.62, 30.92, 26.22, 40.448
B, 71.37, 82.78, 30.38, 82.31, 142.74, 10.908
C, 52.12, 1.9, 39.04, 61.9, 104.24, 5.116
A, 45.51, 24.71, 1.64, 60.72, 91.02, 45.51
C, 37.13, 18.4, 53.3, 4.89, 74.26, 5.274
C, 84.24, 6.15, 14.53, 41.77, 168.48, 5.07
C, 28.12, 44.9, 38.04, 32.71, 56.24, 8.238
B, 31.35, 74.5, 77.0, 40.31, 62.7, 9.238
C, 92.16, 69.69, 50.7, 52.01, 184.32, 6.898
A, 55.05, 38.32, 73.76, 69.05, 110.1, 55.05
C, 34.8, 74.48, 65.56, 66.83, 69.6, 9.48
A, 29.02, 28.24, 97.22, 87.76, 58.04, 29.02
A, 66.66, 93.96, 15.19, 70.58, 133.32, 66.66
B, 14.38, 34.02, 3.84, 66.68, 28.76, 39.563
B, 4.19, 23.47, 60.78, 73.51, 8.38, 8.484
B, 66.02, 53.0, 84.67, 25.09, 132.04, 5.885
B, 43.51, 83.52, 90.19, 90.0, 87.02, 8.329
B, 3.07, 96.98, 74.2, 57.47, 6.14, 83.942
A, 89.44, 47.87, 7.02, 65.87, 178.88, 89.44
C, 33.58, 49.99, 1.04, 97.35, 67.16, 129.534
B, 95.26, 64.49, 92.57, 76.55, 190.52, 5.853
C, 47.99, 97.28, 98.18, 8.83, 95.98, 8.843
B, 74.0, 53.06, 94.19, 19.5, 148.0, 5.712
C, 23.55, 14.83, 85.06, 39.51, 47.1, 5.19
B, 1.83, 20.83, 3.93, 79.44, 3.66, 98.011
C, 62.12, 45.07, 40.09, 76.39, 124.24, 6.403
C, 53.03, 2.62, 36.45, 67.15, 106.06, 5.087
A, 7.7, 93.89, 77.05, 30.52, 15.4, 7.7
B, 80.06, 66.08, 85.77, 95.91, 160.12, 6.153
C, 68.71, 60.1, 64.56, 43.07, 137.42, 6.457
B, 55.91, 69.11, 99.48, 11.33, 111.82, 6.567
B, 27.28, 77.63, 80.95, 24.21, 54.56, 10.059
C, 86.71, 56.9, 92.57, 40.36, 173.42, 5.717
B, 5.49, 43.53, 73.44, 1.88, 10.98, 13.061
C, 9.15, 44.14, 86.45, 35.45, 18.3, 9.236
B, 1.78, 9.25, 99.44, 60.02, 3.56, 6.271
B, 46.28, 36.02, 78.32, 64.28, 92.56, 5.601
B, 78.93, 87.58, 73.18, 46.6, 157.86, 7.503
B, 82.53, 96.06, 34.36, 39.21, 165.06, 11.212
B, 78.6, 70.29, 77.11, 4.38, 157.2, 6.491
A, 60.52, 39.33, 7.98, 54.11, 121.04, 60.52
A, 89.43, 20.86, 10.34, 1.59, 178.86, 89.43
A, 59.77, 42.5, 65.47, 28.56, 119.54, 59.77
B, 24.12, 52.77, 49.04, 39.33, 48.24, 9.136
C, 39.49, 10.12, 65.86, 17.07, 78.98, 5.081
A, 7.22, 63.04, 72.68, 50.09, 14.44, 7.22
C, 53.6, 51.95, 77.64, 76.79, 107.2, 6.138
B, 82.02, 76.66, 29.13, 10.12, 164.04, 9.549
B, 14.0, 3.61, 64.79, 88.73, 28.0, 5.219
B, 72.83, 73.38, 65.04, 8.25, 145.66, 7.09
C, 30.02, 21.66, 31.19, 3.61, 60.04, 5.791
B, 9.44, 63.05, 90.85, 84.88, 18.88, 13.352
C, 4.63, 14.42, 14.7, 80.54, 9.26, 9.612
B, 58.39, 54.53, 45.23, 78.83, 116.78, 6.987
B, 37.07, 78.03, 3.89, 39.11, 74.14, 83.256
C, 74.48, 19.44, 63.84, 96.66, 148.96, 5.129
C, 75.31, 18.67, 80.75, 10.33, 150.62, 5.095
C, 29.7, 36.65, 29.77, 71.62, 59.4, 7.54
C, 76.67, 4.07, 8.2, 24.0, 153.34, 5.094
A, 14.24, 5.45, 43.96, 13.64, 28.48, 14.24
C, 87.66, 58.93, 20.37, 10.12, 175.32, 8.467
C, 89.59, 38.39, 39.65, 46.51, 179.18, 5.699
C, 20.99, 77.7, 75.98, 21.0, 41.98, 12.018
B, 59.6, 34.48, 75.3, 87.32, 119.2, 5.443
B, 18.36, 20.4, 87.51, 13.37, 36.72, 5.424
C, 93.45, 23.55, 76.41, 65.16, 186.9, 5.127
A, 16.64, 27.35, 39.32, 28.17, 33.28, 16.64
B, 94.76, 90.05, 93.01, 47.92, 189.52, 6.741
C, 75.66, 71.24, 97.13, 83.5, 151.32, 6.265
A, 29.94, 4.38, 27.9, 73.66, 59.88, 29.94
C, 31.5, 66.52, 20.99, 57.62, 63.0, 17.131
B, 24.17, 55.57, 94.52, 73.97, 48.34, 7.395
C, 6.31, 39.64, 41.23, 52.25, 12.62, 15.21
A, 71.51, 60.15, 65.39, 59.52, 143.02, 71.51
C, 68.83, 73.47, 16.12, 58.42, 137.66, 13.942
B, 13.45, 93.5, 3.07, 83.89, 26.9, 407.557
B, 36.84, 52.95, 96.88, 48.45, 73.68, 6.383
C, 68.02, 36.49, 25.71, 78.25, 136.04, 6.272
B, 48.09, 6.41, 89.84, 29.53, 96.18, 5.047
C, 53.69, 30.55, 12.42, 2.61, 107.38, 7.28
A, 73.42, 83.2, 53.97, 28.04, 146.84, 73.42
A, 58.74, 7.09, 39.89, 59.59, 117.48, 58.74
C, 16.51, 19.84, 48.79, 11.66, 33.02, 5.778
C, 94.77, 80.99, 29.36, 36.17, 189.54, 9.394
C, 56.2, 33.26, 60.21, 28.56, 112.4, 5.543
B, 58.23, 28.65, 29.37, 73.11, 116.46, 5.779
C, 17.64, 24.61, 54.0, 47.75, 35.28, 6.024
A, 75.25, 24.42, 50.93, 76.7, 150.5, 75.25
C, 33.62, 28.11, 68.19, 91.45, 67.24, 5.564
C, 85.5, 95.14, 27.7, 97.78, 171.0, 12.286
C, 95.91, 38.56, 67.05, 55.78, 191.82, 5.391
C, 24.02, 76.99, 78.51, 77.03, 48.04, 10.82
B, 19.55, 78.06, 19.6, 71.16, 39.1, 34.479
A, 39.6, 17.4, 20.0, 81.94, 79.2, 39.6
C, 92.87, 98.46, 75.29, 3.56, 185.74, 7.657
C, 44.18, 85.66, 65.72, 95.06, 88.36, 9.749
A, 45.94, 40.52, 92.45, 96.67, 91.88, 45.94
B, 10.4, 1.24, 25.31, 68.47, 20.8, 5.813
B, 41.09, 13.11, 97.95, 39.67, 82.18, 5.081
C, 61.67, 64.27, 75.15, 88.85, 123.34, 6.61
B, 13.78, 15.47, 1.62, 44.83, 27.56, 20.886
A, 26.86, 45.9, 87.96, 85.75, 53.72, 26.86
C, 54.75, 26.37, 54.79, 96.45, 109.5, 5.376
B, 87.52, 50.29, 82.96, 12.78, 175.04, 5.609
A, 35.09, 8.15, 14.41, 65.7, 70.18, 35.09
C, 85.15, 76.19, 31.82, 93.83, 170.3, 8.959
B, 61.29, 25.26, 9.69, 32.55, 122.58, 6.708
C, 6.04, 69.91, 2.68, 39.18, 12.08, 555.938
A, 79.76, 18.35, 32.87, 72.94, 159.52, 79.76
C, 84.45, 74.84, 99.62, 88.68, 168.9, 6.228
B, 22.37, 55.45, 76.8, 49.56, 44.74, 8.168
B, 81.16, 26.54, 65.09, 80.22, 162.32, 5.217
A, 17.17, 26.28, 48.72, 93.36, 34.34, 17.17
A, 90.12, 51.22, 71.94, 37.91, 180.24, 90.12
B, 29.81, 56.67, 37.65, 59.55, 59.62, 10.074
C, 14.81, 93.82, 89.89, 42.14, 29.62, 17.585
B, 53.4, 71.47, 31.33, 13.66, 106.8, 10.591
